player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
DQN,3,8,44,16,0,10,0,False
Random2,3,8,11,0,2,2,1,False
Random3,3,8,46,6,1,2,1,False
Random4,3,8,27,6,3,2,1,False
DQN,3,9,46,2,2,10,0,False
Random2,3,9,1,-10,3,2,1,False
Random3,3,9,56,10,1,2,1,False
Random4,3,9,41,10,0,2,1,False
DQN,3,10,47,1,2,10,0,False
Random2,3,10,7,6,1,2,1,False
Random3,3,10,52,-4,3,2,1,False
Random4,3,10,54,-4,0,2,1,False
DQN,3,11,73,0,4,10,0,False
Random2,3,11,33,0,4,2,1,False
Random3,3,11,78,0,4,2,1,False
Random4,3,11,44,0,3,2,1,False
DQN,3,12,89,16,0,10,0,False
Random2,3,12,26,-7,3,2,1,False
Random3,3,12,80,2,2,2,1,False
Random4,3,12,49,2,1,2,1,False
DQN,3,12,94,5,1,10,0,True
Random2,3,12,17,-9,3,2,1,True
Random3,3,12,100,20,0,2,2,True
Random4,3,12,49,20,2,2,1,True
DQN,4,1,12,12,0,10,0,False
Random2,4,1,0,0,2,2,2,False
Random3,4,1,0,0,2,2,1,False
Random4,4,1,4,0,1,2,1,False
DQN,4,2,14,2,2,10,0,False
Random2,4,2,3,3,1,2,2,False
Random3,4,2,13,13,0,2,1,False
Random4,4,2,2,13,3,2,1,False
DQN,4,3,15,1,2,10,0,False
Random2,4,3,17,14,0,2,2,False
Random3,4,3,10,-3,3,2,1,False
Random4,4,3,6,-3,1,2,1,False
DQN,4,4,23,8,1,10,0,False
Random2,4,4,8,-9,3,2,2,False
Random3,4,4,27,17,0,2,1,False
Random4,4,4,6,17,2,2,1,False
DQN,4,5,42,19,0,10,0,False
Random2,4,5,9,1,1,2,2,False
Random3,4,5,22,-5,3,2,1,False
Random4,4,5,7,-5,1,2,1,False
DQN,4,6,55,13,0,10,0,False
Random2,4,6,11,2,2,2,2,False
Random3,4,6,19,-3,3,2,1,False
Random4,4,6,11,-3,1,2,1,False
DQN,4,7,45,-10,3,11,0,False
Random2,4,7,24,13,0,2,2,False
Random3,4,7,31,12,1,2,1,False
Random4,4,7,12,12,2,2,1,False
DQN,4,8,49,4,2,11,0,False
Random2,4,8,29,5,0,3,2,False
Random3,4,8,36,5,0,3,1,False
Random4,4,8,14,5,3,3,1,False
DQN,4,9,39,-10,3,12,0,False
Random2,4,9,48,19,0,3,2,False
