player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random4,3,8,65,14,1,2,0,False
ISMCTS,3,9,6,6,1,27,3,False
Random2,3,9,14,8,0,2,0,False
Random3,3,9,57,0,3,2,0,False
Random4,3,9,67,0,2,2,0,False
ISMCTS,3,10,9,3,1,27,3,False
Random2,3,10,32,18,0,2,0,False
Random3,3,10,58,1,2,2,0,False
Random4,3,10,61,1,3,2,0,False
ISMCTS,3,11,30,21,0,27,3,False
Random2,3,11,34,2,1,2,0,False
Random3,3,11,51,-7,3,2,0,False
Random4,3,11,61,-7,2,2,0,False
ISMCTS,3,12,35,5,1,27,3,False
Random2,3,12,41,7,0,2,0,False
Random3,3,12,55,4,2,2,0,False
Random4,3,12,61,4,3,2,0,False
ISMCTS,3,13,35,0,1,27,3,False
Random2,3,13,40,-1,3,2,0,False
Random3,3,13,72,17,0,2,0,False
Random4,3,13,61,17,1,2,0,False
ISMCTS,3,14,56,21,0,27,3,False
Random2,3,14,41,1,2,2,0,False
Random3,3,14,62,-10,3,2,0,False
Random4,3,14,65,-10,1,2,0,False
ISMCTS,3,15,72,-10,7,28,3,False
Random2,3,15,67,0,4,2,0,False
Random3,3,15,62,26,0,2,0,False
Random4,3,15,91,26,4,2,0,False
ISMCTS,3,16,84,12,0,28,3,False
Random2,3,16,71,4,1,2,0,False
Random3,3,16,62,0,2,2,0,False
Random4,3,16,91,0,2,2,0,False
ISMCTS,3,16,84,0,2,28,3,True
Random2,3,16,79,8,1,2,0,True
Random3,3,16,52,-10,3,2,0,True
Random4,3,16,109,-10,0,2,1,True
ISMCTS,4,1,0,0,2,28,3,False
Random2,4,1,13,13,0,2,0,False
Random3,4,1,-8,-8,3,2,1,False
Random4,4,1,11,-8,1,2,0,False
ISMCTS,4,2,1,1,3,29,3,False
Random2,4,2,18,5,1,2,0,False
Random3,4,2,-2,6,0,2,1,False
Random4,4,2,15,6,2,2,0,False
ISMCTS,4,3,7,6,0,29,3,False
Random2,4,3,22,4,2,2,0,False
Random3,4,3,4,6,0,2,1,False
Random4,4,3,15,6,3,2,0,False
ISMCTS,4,4,8,1,1,29,3,False
Random2,4,4,16,-6,3,2,0,False
Random3,4,4,4,0,2,2,1,False
Random4,4,4,36,0,0,2,0,False
ISMCTS,4,5,10,2,1,29,3,False
Random2,4,5,16,0,2,2,0,False
Random3,4,5,18,14,0,2,1,False
Random4,4,5,36,14,2,2,0,False
ISMCTS,4,6,1,-9,3,30,3,False
Random2,4,6,32,16,0,2,0,False
Random3,4,6,23,5,1,2,1,False
Random4,4,6,40,5,2,2,0,False
ISMCTS,4,7,8,7,0,30,3,False
Random2,4,7,33,1,3,2,0,False
Random3,4,7,26,3,2,2,1,False
Random4,4,7,45,3,1,2,0,False
ISMCTS,4,8,27,19,0,30,3,False
Random2,4,8,33,0,2,2,0,False
Random3,4,8,16,-10,3,2,1,False
Random4,4,8,52,-10,1,2,0,False
ISMCTS,4,9,46,19,0,30,3,False
Random2,4,9,27,-6,3,2,0,False
Random3,4,9,16,0,2,2,1,False
Random4,4,9,55,0,1,2,0,False
ISMCTS,4,10,66,20,0,30,3,False
Random2,4,10,27,0,2,2,0,False
Random3,4,10,8,-8,3,2,1,False
Random4,4,10,59,-8,1,2,0,False
ISMCTS,4,11,67,1,1,30,3,False
Random2,4,11,27,0,2,2,0,False
Random3,4,11,25,17,0,2,1,False
Random4,4,11,57,17,3,2,0,False
ISMCTS,4,12,67,0,2,30,3,False
Random2,4,12,18,-9,3,2,0,False
Random3,4,12,48,23,0,2,1,False
Random4,4,12,59,23,1,2,0,False
ISMCTS,4,13,69,2,3,31,3,False
Random2,4,13,22,4,1,3,0,False
Random3,4,13,54,6,0,3,1,False
Random4,4,13,63,6,1,3,0,False
ISMCTS,4,14,72,3,2,31,3,False
Random2,4,14,22,0,3,3,0,False
Random3,4,14,59,5,1,3,1,False
Random4,4,14,71,5,0,3,0,False
ISMCTS,4,15,67,-5,3,32,3,False
Random2,4,15,35,13,0,3,0,False
Random3,4,15,64,5,1,3,1,False
Random4,4,15,74,5,2,3,0,False
ISMCTS,4,16,58,-9,3,33,3,False
Random2,4,16,52,17,0,3,0,False
Random3,4,16,68,4,1,3,1,False
Random4,4,16,78,4,1,3,0,False
ISMCTS,4,17,72,14,0,33,3,False
Random2,4,17,54,2,1,3,0,False
Random3,4,17,68,0,2,3,1,False
Random4,4,17,78,0,2,3,0,False
ISMCTS,4,18,93,21,0,33,3,False
Random2,4,18,54,0,2,3,0,False
Random3,4,18,73,5,1,3,1,False
Random4,4,18,68,5,3,3,0,False
ISMCTS,4,19,83,-10,3,34,3,False
Random2,4,19,77,23,0,3,0,False
Random3,4,19,76,3,1,3,1,False
Random4,4,19,68,3,2,3,0,False
ISMCTS,4,20,84,1,1,34,3,False
Random2,4,20,92,15,0,3,0,False
Random3,4,20,76,0,2,3,1,False
Random4,4,20,68,0,2,3,0,False
ISMCTS,4,21,87,3,2,34,3,False
Random2,4,21,82,-10,3,3,0,False
Random3,4,21,81,5,1,3,1,False
Random4,4,21,86,5,0,3,0,False
ISMCTS,4,22,78,-9,3,35,3,False
Random2,4,22,95,13,0,3,0,False
Random3,4,22,86,5,2,3,1,False
Random4,4,22,93,5,1,3,0,False
ISMCTS,4,22,78,0,2,35,4,True
Random2,4,22,93,-2,3,3,0,True
Random3,4,22,102,16,0,3,1,True
Random4,4,22,95,16,1,3,0,True
ISMCTS,5,1,0,0,2,35,4,False
Random2,5,1,-4,-4,3,3,0,False
Random3,5,1,15,15,0,3,1,False
Random4,5,1,5,15,1,3,0,False
ISMCTS,5,2,6,6,1,35,4,False
Random2,5,2,-14,-10,3,3,0,False
Random3,5,2,31,16,0,3,1,False
Random4,5,2,9,16,2,3,0,False
ISMCTS,5,3,10,4,2,35,4,False
Random2,5,3,-21,-7,3,3,0,False
Random3,5,3,45,14,0,3,1,False
Random4,5,3,14,14,1,3,0,False
ISMCTS,5,4,11,1,2,35,4,False
Random2,5,4,-11,10,0,3,0,False
