player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random4,3,13,80,10,2,0,0,False
ISMCTS,3,14,15,-10,1,15,3,False
DQN,3,14,56,11,3,17,0,False
Random3,3,14,60,2,2,0,0,False
Random4,3,14,93,2,4,0,0,False
ISMCTS,3,14,10,-5,1,15,4,True
DQN,3,14,56,0,2,17,0,True
Random3,3,14,60,0,2,0,0,True
Random4,3,14,114,0,4,0,0,True
ISMCTS,4,1,22,22,4,16,4,False
DQN,4,1,-10,-10,1,17,0,False
Random3,4,1,4,4,3,0,0,False
Random4,4,1,0,4,2,0,0,False
ISMCTS,4,2,28,6,3,16,4,False
DQN,4,2,-9,1,2,17,0,False
Random3,4,2,-6,-10,1,0,0,False
Random4,4,2,19,-10,4,0,0,False
ISMCTS,4,3,32,4,2,16,4,False
DQN,4,3,4,13,4,18,0,False
Random3,4,3,-13,-7,1,0,0,False
Random4,4,3,25,-7,3,0,0,False
ISMCTS,4,4,36,4,2,16,4,False
DQN,4,4,-5,-9,1,18,0,False
Random3,4,4,4,17,4,0,0,False
Random4,4,4,29,17,2,0,0,False
ISMCTS,4,5,27,-9,1,16,4,False
DQN,4,5,-1,4,2,18,0,False
Random3,4,5,8,4,2,0,0,False
Random4,4,5,46,4,4,0,0,False
ISMCTS,4,6,32,5,3,16,4,False
DQN,4,6,16,17,4,19,0,False
Random3,4,6,-2,-10,1,0,0,False
Random4,4,6,50,-10,2,0,0,False
ISMCTS,4,7,34,2,2,16,4,False
DQN,4,7,27,11,4,20,0,False
Random3,4,7,1,3,3,0,0,False
Random4,4,7,50,3,1,0,0,False
ISMCTS,4,8,43,9,4,17,4,False
DQN,4,8,28,1,2,20,0,False
Random3,4,8,7,6,3,0,0,False
Random4,4,8,50,6,1,0,0,False
ISMCTS,4,9,56,13,4,18,4,False
DQN,4,9,29,1,2,20,0,False
Random3,4,9,1,-6,1,0,0,False
Random4,4,9,58,-6,3,0,0,False
ISMCTS,4,10,56,0,1,18,4,False
DQN,4,10,32,3,2,20,0,False
Random3,4,10,10,9,4,0,0,False
Random4,4,10,62,9,3,0,0,False
ISMCTS,4,11,56,0,1,18,4,False
DQN,4,11,33,1,3,20,0,False
Random3,4,11,25,15,4,0,0,False
Random4,4,11,62,15,1,0,0,False
ISMCTS,4,12,47,-9,1,18,4,False
DQN,4,12,41,8,3,20,0,False
Random3,4,12,28,3,2,0,0,False
Random4,4,12,76,3,4,0,0,False
ISMCTS,4,13,48,1,2,18,4,False
DQN,4,13,41,0,1,20,0,False
Random3,4,13,39,11,4,0,0,False
Random4,4,13,80,11,3,0,0,False
ISMCTS,4,14,57,9,4,19,4,False
DQN,4,14,47,6,3,20,0,False
Random3,4,14,40,1,2,0,0,False
Random4,4,14,80,1,1,0,0,False
ISMCTS,4,15,47,-10,1,19,4,False
DQN,4,15,51,4,2,20,0,False
Random3,4,15,47,7,3,0,0,False
Random4,4,15,95,7,4,0,0,False
ISMCTS,4,16,50,3,2,19,4,False
DQN,4,16,51,0,1,20,0,False
Random3,4,16,56,9,4,0,0,False
Random4,4,16,99,9,3,0,0,False
ISMCTS,4,17,42,-8,1,19,4,False
DQN,4,17,71,20,4,21,0,False
Random3,4,17,60,4,3,0,0,False
Random4,4,17,99,4,2,0,0,False
ISMCTS,4,18,40,-2,1,19,4,False
DQN,4,18,84,13,4,22,0,False
Random3,4,18,65,5,3,0,0,False
Random4,4,18,99,5,2,0,0,False
ISMCTS,4,19,55,15,4,20,4,False
DQN,4,19,87,3,3,22,0,False
Random3,4,19,65,0,2,0,0,False
Random4,4,19,97,0,1,0,0,False
ISMCTS,4,19,45,-10,1,20,5,True
DQN,4,19,111,24,4,23,0,True
Random3,4,19,67,2,3,0,0,True
Random4,4,19,97,2,2,0,0,True
